branch_name,description,subjects,skills_required,career_paths
5G,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Aeronautical Engineering,"Aircraft systems, aerodynamics, propulsion, and aerospace structures.","Aerodynamics, structures, propulsion, design","Physics, math, design","Aeronautical engineer, design analyst"
Agricultural Engineering,"Engineering for agriculture, farm machinery, irrigation, and food systems.","Farm machinery, irrigation, soil, processing","Field work, mechanics, sustainability","Agricultural engineer, irrigation engineer"
Agriculture Engineering,"Engineering for agriculture, farm machinery, irrigation, and food systems.","Farm machinery, irrigation, soil, processing","Field work, mechanics, sustainability","Agricultural engineer, irrigation engineer"
Architectural Assistantship,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Artificial Intelligence,"AI systems, machine learning, data-driven automation, and intelligent applications.","Python, machine learning, statistics, data science, AI models","Coding, math, statistics, curiosity","AI engineer, ML engineer, data scientist, automation engineer"
Artificial Intelligence (AI) and Data Science,"AI systems, machine learning, data-driven automation, and intelligent applications.","Python, machine learning, statistics, data science, AI models","Coding, math, statistics, curiosity","AI engineer, ML engineer, data scientist, automation engineer"
Artificial Intelligence and Data Science,"AI systems, machine learning, data-driven automation, and intelligent applications.","Python, machine learning, statistics, data science, AI models","Coding, math, statistics, curiosity","AI engineer, ML engineer, data scientist, automation engineer"
Artificial Intelligence and Machine Learning,"AI systems, machine learning, data-driven automation, and intelligent applications.","Python, machine learning, statistics, data science, AI models","Coding, math, statistics, curiosity","AI engineer, ML engineer, data scientist, automation engineer"
Automation and Robotics,"Automation, robots, control systems, sensors, and intelligent machines.","Control systems, programming, sensors, mechanics","Coding, electronics, mechanical design","Robotics engineer, automation engineer, controls engineer"
Automobile Engineering,"Vehicle systems, engines, automotive design, and mobility technologies.","Engines, vehicle dynamics, manufacturing, design","Mechanical interest, design, practical problem solving","Automobile engineer, design engineer, service engineer"
Automotive Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
